I am 18+ and consent to take part. I understand anomymised data will be published openly,Which of the following best describes your current work status? ,Do you use any AI-powered tools or features in your work or daily life?,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, search assistants, or productivity apps) in your daily life? ",I often feel mentally taxed when trying to guide or re-phrase prompts for digital or AI tools to get the result I want.  ,Figuring out whether digital or AI information is accurate or trustworthy drains my focus and mental energy. ,Switching between my own ideas and AI-generated suggestions makes it harder to stay in flow. ,I sometimes catch myself thinking about how to think when I use AI or digital systems. ,I lose track of what thoughts are mine versus what came from a digital or AI tool. ,Even brief sessions with digital or AI tools can leave my mind cluttered or overstimulated. ,I rely on digital or AI suggestions to make many everyday work or personal decisions.  ,"When digital or AI advice conflicts with my instinct, I usually follow the system’s recommendation. ",I feel less confident making decisions without digital or AI input. ,Letting AI or digital systems decide for me saves time but leaves me feeling detached from the outcome. ,"After following AI advice, I sometimes question whether the decision was truly mine. ",Using AI tools blurs the line between my judgment and automation. ,I worry that depending on digital or AI systems weakens my independent decision-making over time. ,"Even after I stop using AI or digital tools, my mind keeps replaying the interaction.  ",I find it hard to mentally switch off after spending time with digital or AI systems. ,I need time away from screens or AI tools to feel like myself again. ,Taking short breaks from AI or digital input helps me clear my head. ,"When I spend a day disconnected from AI or digital systems, my thinking feels calmer and more grounded. ",I feel uneasy or restless when I’m not able to use digital or AI tools for long periods. ,"In your own words, describe how using digital or AI tools affects your ability to think clearly, make decisions, or rest your mind.  ",What is your age group?,Country of residence,Which of the following best describes your gender?
Yes,Unemployed and looking for work,Yes,Rarely,5,5,3,4,1,2,3,2,5,6,1,2,5,2,2,5,5,5,1,"I feel that AI tools like LLMs help to surface information and information-leads that I can follow, and organizes it into a structured way that's easier for me to digest than doing broad research from scratch. This can make me feel more confident to come to a conclusion or decision, which is mentally positive. Other AI tools such as image/video/music generation, help me to relax in a manner similar to listening to music or other creative endeavours.",45 - 54,New Zealand,Man
Yes,Unemployed and looking for work,Yes,Often,5,4,4,5,6,5,2,4,5,6,5,3,6,3,5,6,7,5,4,It makes me lazy to think for myself occasionally ,25 - 34,Australia,Man
Yes,Employed full time,Yes,Often,1,2,2,2,1,2,1,4,1,4,2,4,2,1,1,1,3,4,1,I find AI a great help and reinforces my own decisions ,55 - 65,UK,Woman
Yes,Self-employed / freelance,No,Never,7,7,7,4,4,7,1,1,1,7,7,7,7,4,1,7,7,7,1,I don't use digital tools or AI precisely because I don't want to lose the ability to think for myself - to rely so much on AI doesn't feel like progress for humanity at all .,55 - 65,UK,Woman
Yes,Employed full time,Yes,Often,4,5,3,4,3,3,5,4,5,4,4,5,4,5,4,4,5,3,5,"Using AI tools both helps and hinders me.  AI can help free up my mind by doing a lot of leg work and analysis for me.  On the other hand, sometimes I can find myself overrelying on AI without using enough of my own reasoning.  Therefore, AI can help free up some mental capacity for me to think, but it can hinder my decision making process if I rely on it too often.",25 - 34,US,Man
Yes,Self-employed / freelance,Yes,Sometimes,2,4,2,2,2,2,3,2,2,4,2,2,2,2,2,2,4,2,2,I feel like using AI tools helps me to distill things down better to allow for me to actually think clearly. I can offload some simple decisions or tasks and then I can focus on what's needed.,45 - 54,US,Man
Yes,Retired,No,Never,3,4,2,3,1,1,1,1,1,1,1,1,1,1,4,5,5,4,4,"I sometimes find it hard to switch off from using digital devices. But when I am able to stay away from them for a good period of time, my mind feels calmer and I am able to concentrate on something else. However, I will be inevidentally drawn back,  as some things that I do rely on digital devices",Over 65,UK,Woman
Yes,Employed part-time,Yes,Occasionally,3,3,2,1,1,5,2,1,1,3,5,5,6,1,1,5,7,6,7,I don't go out of my way to use AI and can't use it at work. But sometimes I'm forced to when interacting with a company and I hate it. I end up getting so frustrated that I want to scream.,55 - 65,US,Woman
Yes,Employed full time,Yes,Everyday,3,2,2,3,2,2,3,2,2,5,4,5,5,2,2,3,5,3,2,"I find using Ai really saves me a lot of time. However, sometimes I think I am becoming more stupid because I am relying on it too much and I worry I will not be able to think for myself.",35 - 44,UK,Woman
Yes,Employed part-time,No,Sometimes,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,"I do not feel it affects my ability to think clearly, make decisions or rest my mind. I am in complete control of when I use it. I only use it for advice, if it conflicts with what I thought I do further research to avoid misinformation but other than that I am in complete control of the situation ",25 - 34,Ireland,Woman
Yes,Self-employed / freelance,Yes,Occasionally,5,7,3,6,2,5,1,1,1,5,4,3,5,1,1,5,6,7,1,"I try to minimize my use of AI, saving it for work tasks. I am afraid of using it for writing, as I don't want to lose my creativity and my unique voice. I only use it for unimportant tasks and decisions because I have found it to be highly inaccurate and shallow.",55 - 65,US,Woman
Yes,Unemployed and looking for work,Yes,Often,5,4,2,2,3,2,1,3,1,5,2,2,5,2,3,3,4,5,1,"I use mostly for work purposes, so I’ll say it most times makes me make decisions without thorough thinking, it also me unable to fully rest my mind as I switch between tasks. ",45 - 54,UK,Man
Yes,Employed part-time,Yes,Occasionally,3,5,3,2,1,4,1,1,1,2,2,3,5,2,5,5,5,4,5,I don't use AI a lot at present. However I do use digital tools everyday.  I find that I can get pulled down different rabbit holes and need a clear purpose and time frame to remain clear and focused. My mind looks for the distraction of digital tools. I worry about that. However when I am working creatively or writing something- it is still my work. I don't use AI to help me draft at present.  ,55 - 65,Ireland,Woman
Yes,Unable to work due to illness or disability,Yes,Sometimes,5,6,6,4,6,5,5,3,2,6,6,7,7,6,5,4,5,4,2,It helps to reassure me that I am thinking along the right track. ,45 - 54,UK,Woman
Yes,Employed full time,Yes,Occasionally,1,1,4,1,1,1,5,1,1,1,1,1,1,1,1,1,4,1,4,AI helps me get answers very quickly and many times the answers are a summary so I do not need to read pages of information. It helps me think about other things in life that are important,55 - 65,US,Woman
Yes,Employed full time,Yes,Often,2,3,2,1,1,1,2,4,1,4,1,1,1,1,1,1,3,1,1,It does not affect my ability to make decisions or think clearly.,25 - 34,UK,Woman
Yes,Employed full time,No,Rarely,1,2,4,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,"It does not. AI is simply a tool, like all the other that I already use. It does not have that effect on me at all.",35 - 44,Australia,Man
Yes,Employed full time,Yes,Often,3,3,3,2,3,2,4,4,3,4,3,3,3,5,5,3,3,3,4,it provides me with inspiration to expand on y own ideas at work,35 - 44,UK,Woman
Yes,Homemaker / caring for family,Yes,Occasionally,4,6,4,5,3,5,2,2,1,5,5,5,4,3,7,7,7,7,1,Sometimes the AI gives such long winded information it can take time to digest it all and take in. ,35 - 44,UK,Woman
Yes,Employed full time,Yes,Often,6,5,3,6,3,5,5,4,3,5,3,4,5,5,5,5,5,6,3,"I usually find digital/AI tools useful in helping to cut down on the volume of information I need to use for my decisions and this is less overwhelming for me. However, I then tend to use them to make more decisions so it can be mentally taxing after a while.",35 - 44,New Zealand,Woman
Yes,Employed full time,Yes,Everyday,3,4,6,1,2,2,1,5,2,7,6,5,7,1,1,6,7,2,1,Using AI helps clear my thought process to make decisions by quickly but thoroughly analysing the pros and cons of each outcome. This can rest my mind by ensuring all outcomes are explored but can sometimes be overwhelming due to the volume of information ,25 - 34,UK,Woman
Yes,Employed full time,Yes,Occasionally,5,6,6,2,1,3,5,3,2,5,6,6,6,2,2,1,3,2,1,I feel a large sense of guilt when I use AI - like I am cheating,35 - 44,UK,Woman
Yes,Employed full time,Yes,Very often,3,5,5,5,2,2,4,2,2,6,4,4,7,2,2,4,7,5,3,"I appreciate being able to use digital/AI tools to easy my workflows and help to save time on  less important tasks (ie. rewording) that would otherwise take longer. Sometimes, the process of writing out information or a prompt to ChatGPT is a helpful experience for me to articulate my thoughts in a clear way.",25 - 34,New Zealand,Woman
Yes,Employed part-time,Yes,Occasionally,3,5,3,5,2,5,3,2,3,6,2,5,5,5,5,4,6,6,2,"using AI can make me distrust its results. If I don't like the decision made by AI, I will look for reasons why the AI is not correct and/or try to change the outcome. I don't trust AI enough to always trust its output, so it can end up taking me even longer to do things rather than save me time.",45 - 54,US,Woman
Yes,Employed full time,Yes,Rarely,1,7,4,4,1,1,1,1,1,1,1,1,7,1,1,4,7,7,1,I don't use AI tools enough for that to be a problem. I used more AI tools like generative fill in Photoshop instead of chat bots ,25 - 34,UK,Woman
Yes,Self-employed / freelance,Yes,Sometimes,3,2,3,5,3,2,5,6,5,3,2,4,3,2,3,3,4,3,5,"i think ai tools has helped me as i tend to use it as a second opinion and whether to see what it thinks of my own decision, i don't think it has hindered my own ability to think clearly or make decisions.",35 - 44,US,Man
Yes,Self-employed / freelance,Yes,Very often,6,6,6,6,6,6,6,3,6,6,6,6,6,5,5,5,4,4,4,I maybe become dependant on it about taking decisions or writing properly and makes my brain a bit lazy,55 - 65,UK,Woman
Yes,Employed part-time,Yes,Very often,3,2,2,5,2,3,3,3,1,6,3,3,3,4,2,2,5,3,1,"Using digital tools makes me to think and evaluate situations in an in-depth manner with different sources, materials, and methodologies. My procedures for verification are also iterative to get the best result.",25 - 34,US,Woman
Yes,Unemployed and looking for work,No,Occasionally,4,4,5,5,5,3,2,4,2,2,3,4,3,2,2,2,4,4,2,"I don't use AI tools to help me make decisions, I mostly use it to learn",25 - 34,US,Man
Yes,Employed full time,Yes,Often,6,6,7,6,4,5,5,4,2,6,4,6,2,1,1,4,7,7,1,"I am constantly worried on how to keep track of the output, verify accuracy and design prompts",25 - 34,UK,Man
Yes,Unemployed and looking for work,No,Occasionally,2,4,4,6,1,5,1,5,1,4,1,1,1,1,1,1,6,3,1,When you use AI tools to help you on a task it loses your own creativity cause you rely on AI too much when you're doing work ,35 - 44,US,Man
Yes,Employed full time,Yes,Everyday,7,5,5,7,7,6,7,7,1,6,5,7,7,5,5,7,7,7,1,Using AI tools make me feel like I don't think critically about things and it makes me feel like I took the easy way out to create something.,45 - 54,US,Man
Yes,Employed full time,Yes,Sometimes,4,3,5,3,5,4,2,4,4,4,3,5,4,3,3,2,5,4,1,i worry about AI and its effects on the human race in the future sp after using sometimes the worries come back,55 - 65,UK,Woman
Yes,Student,Yes,Occasionally,5,5,6,4,3,5,3,4,3,5,6,5,5,3,5,6,5,5,2,sometimes draining to figure out if the response can actually be trusted,18 - 24,UK,Woman
Yes,Employed part-time,No,Rarely,4,5,4,4,1,4,1,1,1,4,4,5,7,3,4,6,6,6,4,"I try not to use AI tools as I am concerned that it will negatively impact m,y ability to think and do independently",45 - 54,UK,Woman
Yes,Self-employed / freelance,No,Rarely,5,5,6,1,1,2,1,3,1,6,5,5,6,1,1,4,5,3,1,I only use ai for entertainment purposes.  ,55 - 65,US,Woman
Yes,Employed part-time,Yes,Very often,1,4,2,6,2,1,2,1,1,1,3,3,1,3,1,6,7,5,6,"I find using AI tools very convenient because they allows me to get the information and ideas I want while saving time. Even if the AI tool gives me various advice, I will make decisions after thinking about it myself and will not rely solely on the AI tool. For example, when I ask the AI tool for advice on self-care, it gives me a variety of useful information, which is very helpful in maintaining peace of mind. I think the type of text that users input into the AI tool is also an important key to reaping the benefits of using AI tools.",35 - 44,US,Woman
Yes,Employed full time,No,Sometimes,3,4,3,2,1,4,1,2,1,4,4,4,7,1,2,1,3,4,1,"It's a lot of information to process at once. Usually you have to look up the different topics, but with AI it will just spit everything out all at one time",25 - 34,US,Woman
Yes,Employed full time,Yes,Often,4,4,4,1,4,1,1,4,1,4,4,4,4,2,2,2,2,4,4,i feel AI doesn't have a significant impact on my mind,25 - 34,UK,Woman
Yes,Homemaker / caring for family,Yes,Sometimes,2,3,2,4,1,2,2,4,2,5,5,5,6,1,1,2,4,3,1,I don't use AI often enough to be overly affected by it mentally or for it to affect my decision making in my opinion.,45 - 54,UK,Man
Yes,Employed full time,Yes,Very often,2,4,1,7,1,1,2,1,2,1,1,2,3,1,1,1,1,1,1,I am able to think clearly in most cases but when thinking of situations im not the most confident in I tend to second guess myself and let AI assist me / make a decision for me.,35 - 44,New Zealand,Man
Yes,Employed part-time,Yes,Rarely,3,4,3,2,3,3,2,3,4,6,4,3,7,2,3,7,7,6,1,Using AI helps me make plans for holidays or work out medical ailments much quicker than googling for research. So it really helps me make decisions quickly and often helps me be more logical in my thinking too.,Over 65,UK,Woman
Yes,Employed part-time,Yes,Often,4,5,3,3,2,2,2,1,1,1,1,1,5,1,1,1,3,2,1,it doesnt i find it helps with clarity,35 - 44,Australia,Woman
Yes,Employed part-time,No,Rarely,4,6,5,2,1,1,1,1,1,6,6,7,6,1,1,7,6,4,1,I Honestly really don't think it does affect me at all,45 - 54,US,Woman
Yes,Employed full time,Yes,Occasionally,5,3,2,3,1,4,2,2,2,4,2,3,2,2,2,4,7,7,2,Using AI can affect one’s ability to make normal simple quick every day decisions if they start to solely rely on AI for everything. It can make you think less because you can depend on AI more.,35 - 44,US,Woman
Yes,Employed full time,Yes,Everyday,3,1,1,4,1,1,6,4,2,3,1,1,2,1,1,4,4,2,1,"It helps me to make decisions and do my job, but it doesn't affect my ability to think clearly because my mind is sharp no matter what due to how it naturally works & analyzes.",35 - 44,US,Woman
Yes,Employed full time,No,Rarely,7,7,4,1,1,4,1,1,1,4,4,4,4,1,1,1,1,4,1,"I hardly ever use AI but when I do,I just do not like how I feel using AI suggestions.  It just does not feel normal or right",Over 65,US,Woman
Yes,Employed full time,No,Never,2,2,2,2,2,2,1,2,1,2,1,1,2,4,4,4,4,4,4,I don’t use AI tools at all,45 - 54,US,Man
Yes,Employed full time,Yes,Occasionally,5,6,5,4,5,5,2,2,2,4,6,4,6,4,4,4,5,5,1,AI has made me question everything I see online and I don’t trust anything it says ,35 - 44,US,Woman
Yes,Employed part-time,Yes,Occasionally,4,5,4,5,5,5,2,3,3,4,6,5,4,5,5,6,5,6,4,it makes me feel heavily reliant on it and not think clearly because I am so heavily reliant on it,18 - 24,UK,Man
Yes,Retired,Yes,Everyday,3,2,1,5,1,1,2,1,1,1,1,2,1,1,1,5,5,5,2,I actually feel it increases my ability to make decisions and rest my mind because I don't  have to think as hard.  For instance I don't have to think of the details as much but can concentrate on the overall big picture.,Over 65,US,Man
Yes,Employed full time,Yes,Everyday,2,2,1,1,1,1,7,6,6,5,3,4,3,2,2,2,2,2,2,"IT certainly simplifies my life since I can save time and get answers to questions that I did not know. Perhaps relying on it too much can reduce critical thinking skills, but AI has definitely helped me in my work life.",25 - 34,US,Man
Yes,Employed full time,No,Rarely,2,3,3,1,1,1,1,2,1,5,4,2,5,1,1,2,3,4,1,It makes me think of decisions quicker but it doesn't feel as authentic,18 - 24,UK,Woman
Yes,Self-employed / freelance,Yes,Occasionally,3,4,5,5,3,4,4,2,2,4,5,5,6,2,3,5,6,6,2,"It makes me feel less confident with making decisions on my own. I would rather use my cognitive skills to stay sharp, and not be too reliant on AI.",55 - 65,US,Woman
Yes,Unemployed and looking for work,Yes,Sometimes,2,5,2,5,3,2,3,3,4,3,2,3,5,1,4,2,3,5,3,Sometimes I get a thought and get distracted talking to the AI about it instead of doing more productive things.,25 - 34,UK,Man
Yes,Employed full time,No,Occasionally,3,3,3,4,2,3,1,4,2,4,4,2,4,2,2,4,3,2,1,It does not ,25 - 34,UK,Woman
Yes,Unemployed and looking for work,Yes,Very often,6,7,4,1,1,5,4,5,3,1,1,6,7,1,1,7,7,7,3,"I can think clearly even when using AI tools. Even when against a tough question, I'll read what the AI says after my prompt and try to see how it got there, though it is mentally taxing to review. It is also taxing for me to stare at  screen when using my phone for AI, as my eyes are sensitive and over long periods of screen use I get brain fog.",25 - 34,US,Man
Yes,Employed full time,Yes,Occasionally,2,3,2,2,2,2,3,3,6,4,4,3,3,3,2,5,4,5,4,It doesn't affect it that much. But my eyes too get tired of screens. ,35 - 44,US,Woman
Yes,Employed full time,Yes,Often,5,6,5,6,7,4,2,2,5,6,4,6,5,5,3,5,6,4,4,"Sometimes after using AI tools, I feel less confident in my own capability to solve the issue as AI has provided the answers. ",55 - 65,Ireland,Man
Yes,Employed full time,Yes,Very often,1,1,1,1,1,1,5,6,1,1,1,1,2,1,1,1,1,1,1,AI is helpful and frees me up to focus on important things.,45 - 54,US,Woman
Yes,Unable to work due to illness or disability,No,Never,7,2,6,5,7,5,1,1,1,7,7,5,6,1,1,5,7,7,1,Using AI makes me feel lazy and less likely to think when I need to make complex decisions. ,25 - 34,US,Woman
Yes,Self-employed / freelance,Yes,Rarely,5,5,6,1,1,5,1,1,1,5,1,6,7,1,1,5,6,5,1,"I overall get frustrated by a lot of digital/AI tools being unreliable, and limit my use of them.",18 - 24,US,Non-binary
Yes,Employed full time,Yes,Occasionally,3,3,5,4,2,5,4,5,6,3,3,6,2,5,3,5,3,1,5,Using AI helps with important decisions it don’t make me think not clearly,25 - 34,UK,Man
Yes,Self-employed / freelance,Yes,Very often,1,1,1,5,1,1,5,2,1,5,4,2,5,1,1,1,4,5,1,"I do sometimes think that using AI tools too much detracts from my ability/willingness to make my own independent decisions, which is slightly concerning to me.",55 - 65,UK,Woman
Yes,Employed part-time,Yes,Sometimes,2,2,2,1,1,1,5,3,3,4,2,5,5,6,6,4,4,3,1,I find I increasingly ask and act on advice from AI tools. Im obviously not using my own ability to research/make decisions when I do this. I guess I do worry a little that Im becoming a bit dependant on AI. I would not say it puts my mind at unrest exactly but I do get a bit too involved sometimes.,45 - 54,UK,Woman
Yes,Employed part-time,Yes,Sometimes,2,2,6,7,2,1,2,4,2,1,5,7,5,2,2,2,5,4,3,"I think if you rely on  AI tools too much, then it may stifle you're ability to think critically, I feel if you exercise you're mind in this area, you will be more assertive and higher functioning in general .I think AI although very useful can be damaging to young people, when they are developing those critical thinking and problem solving muscles.",35 - 44,Ireland,Man
Yes,Employed full time,No,Never,2,5,2,2,2,2,1,2,1,3,2,3,6,2,2,3,4,2,1,I don't like to use AI tools because I feel they diminish my ability to think and be creative on my own.,55 - 65,US,Woman
Yes,Employed part-time,Yes,Sometimes,4,5,5,2,2,3,2,2,2,4,5,5,4,2,3,5,6,5,3,"I do not think that using digital or AI tools significantly impact my ability to think clearly or make decisions as I generally use AI as a 'backstop' to ensure that my decision or information is correct in a speedy and less taxing manner. However, I do think that it impacts my ability to fully rest my mind. I feel not entirely able to disconnect from digital systems and work for longer than I intended to as digital systems make things much easier to just keep going. Thinking about what I need to do and how I am going to do it is something that I have noticed more and more with increasing digital use and this impacts on my ability to rest my mind. ",Over 65,UK,Man
Yes,Employed full time,Yes,Often,4,4,3,4,3,4,5,4,4,4,4,4,5,4,4,4,4,4,4,I think AI tools have a positive effect on my abilities because they help me catch things I might not have thought of. In this way they enhance what I could do on my own.,45 - 54,US,Man
Yes,Employed full time,Yes,Everyday,5,6,4,7,3,6,5,1,4,1,1,1,4,5,2,2,5,3,5,It's like a bicycle for the mind; in its absence I can attain the same result but it helps me reach a decision quicker and gives me more clarity since my decision making is largely knowledge dependent.,35 - 44,UK,Man
Yes,Employed full time,Yes,Often,5,6,6,4,4,4,5,4,3,6,5,6,6,4,5,5,6,6,3,Sometimes my mind feels convoluted after work and I need a break from screens,45 - 54,US,Woman
Yes,Retired,Yes,Sometimes,2,5,3,2,2,2,2,5,2,5,5,6,5,2,2,5,5,6,3,"I use AI tools to suggest options that I havent thought of, especially when travelling to places I have not been to before.",Over 65,Australia,Man
Yes,Retired,Yes,Sometimes,5,3,3,3,2,1,1,1,1,1,1,1,2,2,2,2,2,3,2,if I have a problem digitally I can count on AI,Over 65,UK,Man
Yes,Employed full time,Yes,Very often,3,4,3,2,1,2,5,3,4,2,4,5,5,5,4,2,3,3,3,"Sometimes AI feels like too much of a shortcut, like a lot of the thought process of a decision goes out of the window and it becomes a different kind of process, just comparing an AI's output. I do feel this fundamentally changes something about how we arrive at decisions using evidence and statistics. ",35 - 44,UK,Man
Yes,Employed part-time,Yes,Often,5,3,5,3,1,3,1,1,1,5,5,5,7,1,1,2,5,5,1,"It's not how I use purposely AI myself that affects my decision making or stresses me, it's the ever present use of it in all forms of interaction that I require to make with any company or service provider. Wading through endless chat bots or AI systems is wearing, annoying and time consuming.",55 - 65,UK,Man
Yes,Employed full time,Yes,Everyday,3,3,2,2,3,2,5,5,6,6,5,6,6,4,6,5,4,5,2,"boost clarity by handling routine tasks, but they can also scatter attention and shrink the space for reflection. They make choices feel easier, though that convenience can weaken slower, more deliberate judgment. They help when used with limits, but without limits they keep the mind active when it needs to rest.",25 - 34,UK,Woman
Yes,Employed part-time,Yes,Sometimes,5,6,2,1,1,1,1,1,1,2,1,3,2,1,1,4,4,4,1,"I use it carefully to sense check or proof read content that I have generated myself.  It is very good to help edit down wordy content, or to adapt it to specific audiences and I always check that it has not changed the meaning or added/removed content that I did not want it to.  Like anything else (spellcheck, autocomplete, transcriptions etc) it is a tool in the toolbox and you need to understand what it can and can't do and quality check the results.",35 - 44,UK,Man
Yes,Unemployed and looking for work,Yes,Occasionally,7,7,7,4,7,7,5,3,3,7,7,7,7,5,6,7,6,7,3,"I feel like AI takes away my ability to exercise mental muscles, to keep functions such as original thinking and understanding processes through doing in tact. I worry that the demand to use AI will result in me relying on it to think for me, and strip me of the ability to think unique thoughts or produce original work; it somehow takes away my joy and sense of achievement I felt in the past in completing a task and producing useful results for a business myself, when the AI can do most of the work.",35 - 44,UK,Man
Yes,Employed full time,Yes,Sometimes,2,3,2,2,2,2,3,4,2,3,4,5,6,2,2,4,5,6,2,I think that right now AI just enhances what I provide but doesn’t take over or impact my ability to think clearly or make decisions/ ,35 - 44,US,Woman
Yes,Employed full time,Yes,Very often,3,3,5,5,6,3,5,6,7,6,7,7,7,2,2,1,3,4,1,it makes me less competent in making my own decisions and performing actions. ,18 - 24,UK,Woman
Yes,Employed full time,Yes,Everyday,2,1,3,2,2,1,5,5,4,3,5,4,6,1,1,1,1,1,2,it does not impact me ,35 - 44,UK,Man
Yes,Self-employed / freelance,Yes,Often,5,6,6,5,6,5,5,2,4,5,6,6,7,5,5,6,5,6,4,I have become too reliant on AI tools and this has negatively impacted my ability to think and act independently and autonomously.  This has resulted in heightened anxiety. ,55 - 65,UK,Man
Yes,Employed part-time,No,Never,4,6,4,2,1,3,1,1,1,2,2,2,1,1,1,7,7,7,1,"It doesn't, I don't know how it could actually do that for anyone.",45 - 54,US,Woman
Yes,Self-employed / freelance,Yes,Everyday,2,2,4,4,2,1,3,1,4,3,1,2,2,1,1,1,1,1,1,"AI tools are tools. I use them the same ways I use other tools. I translate screenshots with them. I correct grammar with them (not here :) ), I ask for recipes and so on. It would be weird to ask it for personal advice or start pouring my soul into computer. I use it as a tool and it is a great time saver compare to google. If its starts lying or pushing decisions - opening a new window usually solves a problem ",35 - 44,New Zealand,Woman
Yes,Employed full time,Yes,Everyday,2,2,2,3,2,2,6,6,2,2,2,2,6,2,2,2,2,2,6,Using AI helps to keep my thoughts organized.,35 - 44,US,Woman
Yes,Employed full time,Yes,Everyday,3,7,5,3,1,3,1,1,1,2,2,2,4,2,1,4,5,5,2,I really need breaks from screens in general and I use screen for digital and AI tools so I just need a break to rest my eyes and head sometimes.,45 - 54,US,Woman
Yes,Retired,Yes,Sometimes,5,6,4,5,6,5,3,4,3,5,6,5,6,5,3,3,5,4,3,It does depend on what purpose you're using AI for in my view and therefore the trustworthiness of the results obtained. I would always take each case individually to assess how to use the results and whether or not to accept them on face value or the need for further research. ,Over 65,UK,Man
Yes,Employed full time,Yes,Everyday,5,6,5,4,6,5,5,6,5,6,2,3,2,6,3,5,4,5,6,"I don't think it does, it just allows me to process and generate more output",35 - 44,UK,Man
Yes,Self-employed / freelance,Yes,Very often,5,5,4,4,4,4,4,3,4,4,4,4,6,4,3,5,5,6,3,"I need it to make sense of my thoughts and ideas. It helps me make decisions, which frees up my mind, and I then have confidence to do other things, away from screen and AI",45 - 54,UK,Woman
Yes,Employed full time,Yes,Very often,2,4,4,2,2,1,1,3,4,1,1,2,2,1,1,3,1,1,1,I dont think it affects my ability to think clearly. In a way I think that it actually helps me think more clearly because Im more aware ,45 - 54,US,Woman
Yes,Employed full time,Yes,Occasionally,3,4,5,3,2,3,2,2,2,5,6,5,6,2,2,5,6,6,2,"I feel like i always need to be switched on when using AI, I also feel like I need to proof read answers and even fact check ",35 - 44,UK,Woman
Yes,Employed full time,Yes,Often,5,6,6,5,4,4,2,3,5,5,5,4,4,3,3,4,4,5,6,"The models provide different answers to the same queries and also require multiple follow up questions to provide useful answers. You also have to fact check anything that's questionable or highly important.  After awhile, you're mentally exhausted and full of doubt while still needing and craving reliable information. You blame yourself for not being smart enough to use AI models",55 - 65,US,Woman
Yes,Employed full time,Yes,Sometimes,3,6,2,3,2,3,2,1,2,4,5,5,5,1,1,1,4,5,1,"i like using it to summarise large amounts of data in a concise way that helps me make choices, so it can be helpful, however on occasion i have noticed the summaries produced are not always accurate or are missing context so i still need to have a good grounded understanding of the source data",35 - 44,Australia,Man
Yes,Employed full time,Yes,Everyday,4,3,2,4,1,2,3,5,2,5,2,5,4,2,1,1,3,3,1,"If used in moderation AI tools don't really have much of an effect on my ability to think clear, but after using them for extensive periods of time it can become harder to distinguish at times between your own thoughts and those you have seen as responses via AI tools.",25 - 34,UK,Man
Yes,Retired,No,Never,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,"I don’t have any issues as I’m not a digital tool user. But I can imagine if it doesn’t understand the question it could be frustrating, tech is great when it works.",55 - 65,UK,Woman
Yes,Employed full time,Yes,Often,5,6,6,2,4,3,4,5,4,5,6,4,4,4,5,5,4,5,5,"When tools handle tasks like summarizing, calculating, or organizing, your mind has more space for deeper reasoning, creativity, or reflection. It’s like clearing mental clutter so you can focus on the parts that matter.",25 - 34,US,Woman
Yes,Employed part-time,Yes,Occasionally,3,5,5,2,2,1,5,2,1,2,5,5,5,1,1,1,1,1,1,I use it more of an aide then trusting on it solely. It doesnt effect my feelings but helps back up maybe what im feeling,35 - 44,UK,Woman
Yes,Self-employed / freelance,Yes,Occasionally,6,7,7,6,5,6,2,1,1,6,7,6,5,4,6,7,7,7,1,Using AI tools although it saves time is very mentally overloading ,55 - 65,UK,Woman
Yes,Employed full time,Yes,Everyday,2,3,2,3,2,2,6,3,2,2,2,3,2,3,2,2,5,4,2,"I always view AI as my own personal knowledgeable assistant, who works 24/7 without tiring or complaining. I can choose what I do myself and what I delegate. I can choose whether to listen to AI or to ignore it. I see using AI as a symbiotic relationship where I gain by being freed from the majority of research work and base analyses. I am freed up to focus on QA over AI feedback, and then deciding whether I need to research/analyze further before making a decision myself. I find this approach stimulating, reassuring and comforting; I can rest my mind when wanted and then employ my full brain power when needed.",55 - 65,UK,Man
Yes,Self-employed / freelance,Yes,Sometimes,4,4,4,3,2,1,2,4,4,5,6,6,5,3,3,3,4,3,1,I'm really not affected by it. ,45 - 54,US,Woman
Yes,Employed full time,Yes,Sometimes,5,4,4,1,1,1,1,1,1,5,5,1,1,1,1,7,7,7,1,"I have very clear and set boundaries that I do not cross so it doesn't. But I do understand and have personally felt the potential for this to happen, when I first started using AI. But I then learned what it is really useful for which is moreso things like framing and giving you structure instead of actual judgement of quality of things.",25 - 34,US,Man
Yes,Unemployed and not currently looking for work,Yes,Everyday,2,2,2,4,1,1,5,4,4,3,3,2,3,2,1,1,2,2,1,AI tools could assist to make decision more effectively,55 - 65,UK,Man
Yes,Employed full time,Yes,Everyday,2,5,1,4,1,1,4,2,1,2,1,1,1,1,1,1,1,1,1,It doesn't affect me because I'm not dependent on AI or any digital tools.,45 - 54,US,Woman
Yes,Employed full time,Yes,Everyday,2,2,2,2,2,2,6,6,4,4,2,2,2,5,2,5,5,4,5,few of the but just one i use regularly,35 - 44,UK,Man
Yes,Homemaker / caring for family,No,Rarely,5,4,3,2,2,4,1,2,1,2,2,1,1,1,1,5,4,3,3,"The overload of input from using a phone and apps clutters my already cluttered mind even more, its as if all the tabs are never closed, but multiplied. ",25 - 34,US,Woman
